"evidence_id","domain","conclusion","path","locator","caller_or_callee","config_or_table","artifact_or_log","git_record","status","evidence_strength","notes"
"E011","采集","实现retry、分页、超时、增量和失败处理","fetch_power_market_data.py","Session/Retry约92-124; pagination约168+","fetch函数调用","timeout 30/120","日志与既有数据","当前工作区","completed_verified","strong","需阶段二小窗口实调"
"E012","采集","远程失败时使用本地/既有数据降级","services/data_service.py","约44-65","pipeline_steps调用data_service","fallback策略","近期刷新日志","当前工作区","completed_verified","strong","降级结果必须在UI显式标识"
"E013","数据","主表17488行34列，2024-06-19至2026-06-17","output/master_table.xlsx","worksheet维度与datetime首尾","训练/特征工程读取","datetime等34列","Excel元数据","产物更新时间2026-06","completed_verified","strong","只读取维度、字段和首尾时间"
"E014","数据","价格17518行、负荷17494行、天气17520行","output/da_price_raw.xlsx; output/actual_load.xlsx; output/weather.xlsx","worksheet维度与datetime首尾","主表构建","核心字段","Excel元数据","产物更新时间2026-06","completed_verified","strong","表尾时间存在1天左右差异"
"E015","数据库","PostgreSQL可只读连接，迁移0012，共58表","backend/app/database.py; migrations","只读事务; alembic_version","FastAPI repositories","DATABASE_PRIMARY=postgresql","alembic_version=0012_backend_legacy_tables","当前数据库2026-07-14","completed_verified","strong","未执行任何写SQL"
"E016","数据库","raw_market=35036、raw_load=35006、raw_weather=17520、raw_renewable=0","PostgreSQL","SELECT count/min/max","数据API/预测同步","raw_*表","只读查询结果","当前数据库2026-07-14","completed_verified","strong","市场/负荷/天气约覆盖2024-06-19至2026-06-18"
"E017","数据库","forecast_results/model_registry/prediction_tracking/model_performance_daily均为0","PostgreSQL","SELECT count(*)","预测API/模型中心/AI工具","四张核心表","只读查询结果","当前数据库2026-07-14","completed_verified","strong","证明关键生产闭环未形成"
"E018","数据库","report_runs/reviews/strategy_advice及多数AI业务表为空","PostgreSQL","SELECT count(*)","报告/策略/AI API","report_runs; report_reviews; strategy_advice","只读查询结果","当前数据库2026-07-14","completed_verified","strong","不能用页面/API存在替代数据闭环"
"E019","特征","最新特征表16902行172列，覆盖2024-07-13 06:00至2026-06-17 23:00","结果-3/结果表/特征工程表.xlsx","worksheet维度与datetime首尾","formal_forecast/v4_fix1","172列特征","Excel元数据","run 20260620_063015","completed_verified","strong","不输出完整数据"
"E020","防泄漏","P2检查可回测，0高/中风险，时间顺序切分且未随机打乱","output/p2/leakage_check_result.json","acceptable_for_backtest=true; checks","P2构建/回测","target=da_price; time=datetime","created_at 2026-06-13","历史P2批次","completed_verified","strong","不能自动外推到所有未来训练批次"
"E021","模型契约","旧Active模型因缺100个预期特征被P2公平回测跳过","output/p2/metrics.json","warnings字段","legacy active model loader","feature schema","P2 warning","历史P2批次","completed_verified","strong","说明Active与当前回测特征契约不一致"
"E022","训练切分","最新artifact训练15462行、验证720、测试720，按时间严格分段","model_artifacts/model_20260620_063015/training_config.json","train/validation/test窗口","v4_fix1训练","time split","training_config","run 20260620_063015","completed_verified","strong","训练止于2026-04-18，测试至2026-06-17"
"E023","模型产物","最新artifact含base、peak、spike、P90、feature_cols、metrics和配置","model_artifacts/model_20260620_063015","目录文件清单","formal/fast forecast加载","run_id=20260620_063015","joblib/json产物","2026-06-20","completed_verified","strong","二进制仅检查存在/大小/元数据"
"E024","模型指标","融合MAE16.0842、RMSE32.7001、MAPE20.3598%、R²0.944455","model_artifacts/model_20260620_063015/metrics.json; 自动化输出/current/ai_input_summary.json","model_summary/peak_special_summary","报告生成读取","run_id=20260620_063015","metrics与摘要","2026-06-20","completed_verified","strong","高峰RMSE32.2203，尖峰价格RMSE67.7078"
"E025","模型中心","model_versions有5条但无Active，model_registry为0","PostgreSQL; backend/app/repositories/model_repository.py","ensure_seed_model_center约418+; 固定版本约17-24","model API/前端模型中心","model_versions; model_registry","v3.2.1/v3.3.0-rc1 seed","当前数据库/代码","blocked","strong","样本数1892743为代码种子值，不能视为真实训练"
"E026","正式预测","正式24小时结果24行，覆盖2026-06-18 00:00至23:00","结果-3/结果表/未来24小时预测结果_正式版.xlsx","worksheet维度与datetime范围","formal_forecast -> report","run_id=20260620_063015","正式预测Excel","2026-06-20","completed_verified","strong","另有2026-03-26演示文件需区分"
"E027","预测摘要","平均146.0162、最高428.2569@17:00、最低-9.6911@06:00","自动化输出/current/ai_input_summary.json","forecast_summary","03_generate_ai_report.py","run_id=20260620_063015","结构化摘要","2026-06-20","completed_verified","strong","仅适用于该run_id和2026-06-18"
"E028","报告","当前目录有Word/JSON/Markdown报告和LLM尝试元数据","自动化输出/current","文件清单与修改时间","03_generate_ai_report.py","run_id=20260620_063015","电价智能分析综合报告.docx等","2026-06-20","completed_verified","strong","数据库report_runs为0"
"E029","派发","dispatch_archive存在20260518、0528、0609、0614、0620多个批次","自动化输出/dispatch_archive; 04_dispatch_report.py","批次目录/manifest/latest","日常pipeline dispatch步骤","派发配置","归档产物","多个历史批次","completed_verified","strong","外部webhook成功性未验证"
"E030","AI入口","真实接口为/api/ai/chat和/api/ai/stream","backend/app/api/v1/endpoints/assistant.py","chat约98; stream约117; _answer_chat_from_payload约82-95","前端AssistantPage调用","路由","无","当前工作区","completed_verified","strong","另有附件/会话/feedback/trace相关路由"
"E031","AI主链","answer_chat首行转入answer_chat_accurate，后续旧实现不可达","backend/app/ai/assistant_service.py","answer_chat约73首个return; 旧代码约87+","assistant endpoint -> answer_chat","无","无","当前工作区","completed_verified","strong","旧后半段应视为deprecated/duplicate"
"E032","AI编排","新链依次执行上下文、意图、工具、规划、Context Pack、LLM、Guard、状态保存","backend/app/ai_assistant/service.py","answer_chat_accurate约1017; resolve1040; route1049; tools1072; LLM1148; guard1174; save1194","/api/ai/chat/stream调用","LLMRouter","trace/state","当前工作区","completed_verified","strong","静态接入明确，当前运行未验证"
"E033","AI RAG接入","RAG按意图触发并把知识证据加入回答上下文","backend/app/ai_assistant/service.py","RAG判定约455+; 检索约1095-1108","answer_chat_accurate -> rag_service","knowledge上下文","trace knowledge summary约1229","当前工作区","completed_verified","strong","不是仅独立测试代码"
"E034","AI重复","backend/app/ai、ai_assistant和langgraph_agent存在重叠实现","backend/app/ai; backend/app/ai_assistant; backend/langgraph_agent","定义/import/caller搜索","当前主链仅选ai_assistant","多套prompt/tool/agent","无","历史演进","duplicate","strong","阶段二应生成完整引用图后归档"
"E035","LLM路由","LLMRouter支持auto/deepseek/ollama和回退顺序","backend/app/ai_assistant/llm_router.py","约25-95","answer_chat_accurate -> generate","LLM_PROVIDER; LLM_ROUTER_MODE","无","当前工作区","completed_verified","strong","配置代码存在不等于服务可用"
"E036","敏感配置","DeepSeek key存在且非空，值已脱敏；provider=deepseek、mode=auto",".env; .env.docker","仅presence/nonempty检查","backend/app/config/LLMRouter","DEEPSEEK_API_KEY; LLM_PROVIDER; LLM_ROUTER_MODE","无","本地配置","completed_verified","medium","报告未复制任何密钥/连接串"
"E037","API面","后端注册auth/system/data/dashboard/forecast/strategy/assistant/knowledge/report/model/task/users","backend/app/api/v1/router.py","include_router约8-20","backend.app.main.create_app","路由prefix","API目录","当前工作区","completed_verified","strong","路由存在不代表运行成功"
"E038","前端fallback","模型/预测/策略前端含固定v3.2.1或fallback","frontend/src/components/HeaderBar.tsx; frontend/src/pages/forecast/ForecastDesign.tsx; frontend/src/services/forecastApi.ts; frontend/src/services/strategyApi.ts","v3.2.1/fallback引用","页面和API服务","fallback常量","无","当前工作区","partially_completed","strong","与DB seed共同造成模型身份风险"
"E039","AI前端可见性","AssistantPage含model_fallback标签且有Trace/Tools子视图","frontend/src/pages/assistant/AssistantPage.tsx; frontend/src/app","约1050及路由/菜单","AI API响应","debug权限/字段","历史hidden-debug评测","当前工作区","completed_unverified","medium","普通用户是否可见需权限态E2E"
"E040","知识导入","历史导入报告为54文档、583 chunks","knowledge_pipeline/output/import_report.json; import_report.md","input/imported/success字段","import_chunks_to_kb.py","导入批次元数据","历史报告","2026-06历史","completed_verified","strong","是历史批次，不是当前数据库规模"
"E041","Embedding","历史583向量全成功且维度1024","knowledge_pipeline/output/import_report.json","embedding_success/dim","embedding_service/importer","BGE sentence_transformers","历史报告","2026-06历史","completed_verified","strong","模型文件内容未展开"
"E042","当前知识库","当前kb_documents=6、kb_chunks=6，6条均有1024维embedding","PostgreSQL","只读count和json_array_length","RAG repository","kb_documents; kb_chunks","当前查询结果","2026-07-14","completed_verified","strong","与历史54/583明显不一致"
"E043","向量存储","当前使用embedding_json并在Python计算余弦，未发现pgvector/FAISS/Chroma依赖","backend/app/services/rag_service.py; requirements*.txt","vector search约558-575; 依赖搜索","rag_service -> repository","embedding_json JSONB","无","当前工作区","completed_verified","strong","向量数据库能力为not_started而非已完成"
"E044","RAG实现","混合关键词/向量、rewrite、alias、category boost、rerank、引用均已实现","backend/app/services/rag_service.py; rerank_service.py; rag_query_rewriter.py","merge约578-601; search约642+; rerank约689; evidence约704","AI主链调用","top_k/rerank配置","无","当前工作区","completed_verified","strong","文件fallback也存在"
"E045","RAG smoke","历史smoke为10题中9题命中新导入文档，比例0.9","tests/evaluation/output/final_bge_rag_smoke_after_tests.md; knowledge_pipeline/output","summary字段","test_rag_search_after_import.py","评测参数","历史smoke报告","2026-06-12","completed_verified","strong","否定历史线索中的10/10"
"E046","RAG当前可用性","当前服务未运行且知识库仅6 chunks，历史smoke不可外推","PostgreSQL; 端口检查","kb计数/8000端口","AI -> RAG","kb表","运行态检查","2026-07-14","blocked","strong","需阶段二恢复语料并重测"
"E047","AI评测","100题评测集存在；历史42/100、RAG68.89%、隐藏调试100%有报告支持","tests/evaluation/ai_assistant_eval_questions.json; tests/evaluation/output/after_knowledge_import_report.md","题数与报告约7-10行","evaluation scripts","评测规则","历史报告","2026-06","completed_verified","strong","不是当前代码/数据回归结果"
"E048","评测资产","未找到ai_assistant_eval_v1.xlsx及四个点名jsonl资产","tests/evaluation; 全项目","rg --files按精确文件名","评测/训练流程","无","无","2026-07-14检索","not_started","strong","LoRA/SFT条件不成立"
"E049","部署","Compose定义postgres、redis、backend、worker、frontend等服务","docker-compose.yml; docker-compose.enterprise.yml","services定义","启动/部署","端口和环境变量","Compose文件","当前工作区","completed_unverified","strong","本阶段未docker up"
"E050","运行态","仅PostgreSQL 5432监听；8000/5173/6379/11434均未监听","本机端口","Get-NetTCPConnection/端口检查","backend/frontend/redis/ollama","端口","2026-07-14运行态","当前机器","completed_verified","strong","健康接口不可达"
"E051","调度","TASK_EXECUTION_MODE=celery但Redis/Worker当前不可用",".env; backend任务代码; docker-compose.yml","配置presence与端口","task API -> Celery","TASK_EXECUTION_MODE; REDIS_URL","运行态","2026-07-14","blocked","strong","未输出Redis连接串"
"E052","日志","近期日志记录Redis timeout，data refresh/sync-core返回500","backend_app.log; web_backend.log","ERROR/timeout/POST状态检索","data API -> Celery/core sync","Redis","近期日志片段","2026-07","blocked","strong","未完整复制日志"
"E053","可移植性","启动脚本含原开发机Node/Python绝对路径和中文路径","scripts/web_platform_launcher.py; run*.bat","路径常量与fallback","启动器","D:\DevTools; C:\Users路径","无","当前工作区","partially_completed","strong","在其他机器可能失效"
"E054","安全","AUTH_REQUIRED未在本地环境显式出现，.env/.env.docker含敏感类型",".env; .env.docker; backend/app/config.py","仅键名/presence检查","认证与配置加载","AUTH_REQUIRED; DATABASE_URL; API key","无","本地配置","unable_to_verify","medium","需检查默认值、Git跟踪和角色E2E"
"E055","语法","348个项目Python文件AST解析0错误","E:\智能运营分析项目","ast.parse; rg文件清单","全项目Python","UTF-8-sig读取","静态检查输出","2026-07-14","completed_verified","strong","不等同import或运行成功"
"E056","测试","识别64个Python测试文件，本阶段未运行","tests","test_*.py/*_test.py计数","pytest","测试配置","测试定义","2026-07-14","completed_unverified","strong","不能报告通过率"
"E057","文档对照","2026-06-05后文档目标转向FastAPI/React/PostgreSQL/Redis/专家AI/RAG","《智能运营分析项目》项目全面分析说明文档_v20260605.docx; docs/《智能运营分析项目》项目全面分析说明文档_v20260703.docx","定向提取架构/完成度/风险章节","与代码/API/DB对照","文档版本","Word文档","2026-06/07","partially_completed","medium","文档仅作计划/历史证据"
"E058","文档差异","P6方案要求真实数据、fallback标识和闭环验收；当前seed/空表/停运态未满足","docs/智能运营分析项目_P6_UI与功能排版优化落地方案_Codex版_v20260622.docx","总则、阶段、验收段落","前端/后端/DB/运行态对照","P6 UI-0至UI-4","Word文档","2026-06-22","partially_completed","strong","方案声明不能替代当前证据"
