feature_name,dtype,current_status,online_available_at_prediction_time,leakage_risk,source_system,availability_latency,replacement_strategy,candidate_contract_status,candidate_feature_name,block_category,evidence
da_price_hist_month_mean,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_hist_weekend_mean,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
same_hour_price_mean_7d,numeric,block,no_not_in_candidate,low,raw_market via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
same_hour_price_median_14d,numeric,block,no_not_in_candidate,low,raw_market via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
same_hour_price_p75_30d,numeric,block,no_not_in_candidate,low,raw_market via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
same_hour_price_p90_30d,numeric,block,no_not_in_candidate,low,raw_market via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
same_hour_price_std_30d,numeric,block,no_not_in_candidate,low,raw_market via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
da_price_lag_1,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_lag_2,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_lag_3,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_lag_6,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_lag_12,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_lag_18,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_lag_24,numeric,block,yes,none_after_anchor_cutoff,historical_da_price,published_day_ahead,keep,included_contract_safe_runtime_freshness_blocked,da_price_lag_24,data_freshness_issue,Day6A matrix row; candidate derivation=strict_lag_24h_relative_to_target
da_price_lag_25,numeric,block,no_not_in_candidate,low,raw_market via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
da_price_lag_48,numeric,block,yes,none_after_anchor_cutoff,historical_da_price,published_day_ahead,keep,included_contract_safe_runtime_freshness_blocked,da_price_lag_48,data_freshness_issue,Day6A matrix row; candidate derivation=strict_lag_48h_relative_to_target
da_price_lag_72,numeric,block,no_not_in_candidate,low,raw_market via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
da_price_lag_96,numeric,block,no_not_in_candidate,low,raw_market via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
da_price_lag_168,numeric,block,yes,none_after_anchor_cutoff,historical_da_price,published_day_ahead,keep,included_contract_safe_runtime_freshness_blocked,da_price_lag_168,data_freshness_issue,Day6A matrix row; candidate derivation=strict_lag_168h_relative_to_target
da_price_lag_169,numeric,block,no_not_in_candidate,low,raw_market via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
price_hist_change_1h,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
price_hist_change_24h,numeric,block,no_not_in_candidate,low,raw_market via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
price_hist_ratio_1h,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
price_hist_ratio_24h,numeric,block,no_not_in_candidate,low,raw_market via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
price_spread_rt_minus_da_lag_1,numeric,retrain_required,no_not_in_candidate,prohibited,no permissible online source; current engine uses historical same-hour proxy,unavailable_for_recursive_h2_h24,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
price_spread_rt_minus_da_lag_24,numeric,block,no_not_in_candidate,low,raw_market via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
price_spread_rt_minus_da_lag_168,numeric,block,no_not_in_candidate,low,raw_market via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
price_hist_gap_vs_yesterday_same_hour,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
price_hist_change_1h_x_peak,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
price_gap_yesterday_x_peak,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_lag_1_x_peak,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_roll_mean_6_x_peak,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_hist_hour_mean_x_peak,numeric,block,no_not_in_candidate,low,raw_market via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
recent_price_tightness,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
hourly_pressure_proxy,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_lag_1,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_lag_2,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_lag_24,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_lag_25,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_lag_48,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_lag_168,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
actual_load_lag_1,numeric,retrain_required,yes,none_after_anchor_cutoff,historical_actual_load,1h_reporting_guard,lagged_replacement,replaced,actual_load_lag_25,not_applicable,Day6A matrix row; candidate derivation=strict_lag_25h_relative_to_target
actual_load_lag_2,numeric,retrain_required,yes,none_after_anchor_cutoff,historical_actual_load,1h_reporting_guard,lagged_replacement,replaced,actual_load_lag_25,not_applicable,Day6A matrix row; candidate derivation=strict_lag_25h_relative_to_target
actual_load_lag_24,numeric,block,no_not_in_candidate,low,raw_load via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
actual_load_lag_25,numeric,block,yes,none_after_anchor_cutoff,historical_actual_load,1h_reporting_guard,keep,included_contract_safe_runtime_freshness_blocked,actual_load_lag_25,data_freshness_issue,Day6A matrix row; candidate derivation=strict_lag_25h_relative_to_target
actual_load_lag_48,numeric,block,yes,none_after_anchor_cutoff,historical_actual_load,1h_reporting_guard,keep,included_contract_safe_runtime_freshness_blocked,actual_load_lag_48,data_freshness_issue,Day6A matrix row; candidate derivation=strict_lag_48h_relative_to_target
actual_load_lag_168,numeric,block,yes,none_after_anchor_cutoff,historical_actual_load,1h_reporting_guard,keep,included_contract_safe_runtime_freshness_blocked,actual_load_lag_168,data_freshness_issue,Day6A matrix row; candidate derivation=strict_lag_168h_relative_to_target
actual_load_hist_change_1h,numeric,retrain_required,yes,none_after_anchor_cutoff,historical_actual_load,1h_reporting_guard,lagged_replacement,replaced,actual_load_lag_25,not_applicable,Day6A matrix row; candidate derivation=strict_lag_25h_relative_to_target
actual_load_hist_change_24h,numeric,block,no_not_in_candidate,low,raw_load via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
temperature_lag_1,numeric,block,no_not_in_candidate,low,WeatherForecastProvider; current engine falls back to historical same-hour weather,formal_weather_forecast_required_for_recursive_horizon,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
temperature_lag_2,numeric,block,no_not_in_candidate,low,WeatherForecastProvider; current engine falls back to historical same-hour weather,formal_weather_forecast_required_for_recursive_horizon,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
temperature_lag_24,numeric,block,no_not_in_candidate,low,raw_weather via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
temperature_lag_48,numeric,block,yes,none_after_anchor_cutoff,historical_temperature,1h_reporting_guard,keep,included_contract_safe_runtime_freshness_blocked,temperature_lag_48,data_freshness_issue,Day6A matrix row; candidate derivation=strict_lag_48h_relative_to_target
temperature_lag_168,numeric,block,yes,none_after_anchor_cutoff,historical_temperature,1h_reporting_guard,keep,included_contract_safe_runtime_freshness_blocked,temperature_lag_168,data_freshness_issue,Day6A matrix row; candidate derivation=strict_lag_168h_relative_to_target
wind_speed_lag_1,numeric,block,no_not_in_candidate,low,WeatherForecastProvider; current engine falls back to historical same-hour weather,formal_weather_forecast_required_for_recursive_horizon,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
wind_speed_lag_24,numeric,block,no_not_in_candidate,low,raw_weather via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
wind_speed_lag_48,numeric,block,yes,none_after_anchor_cutoff,historical_wind_speed,1h_reporting_guard,keep,included_contract_safe_runtime_freshness_blocked,wind_speed_lag_48,data_freshness_issue,Day6A matrix row; candidate derivation=strict_lag_48h_relative_to_target
precipitation_lag_1,numeric,block,no_not_in_candidate,low,WeatherForecastProvider; current engine falls back to historical same-hour weather,formal_weather_forecast_required_for_recursive_horizon,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
precipitation_lag_24,numeric,block,no_not_in_candidate,low,raw_weather via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
precipitation_lag_48,numeric,block,yes,none_after_anchor_cutoff,historical_precipitation,1h_reporting_guard,keep,included_contract_safe_runtime_freshness_blocked,precipitation_lag_48,data_freshness_issue,Day6A matrix row; candidate derivation=strict_lag_48h_relative_to_target
temperature_lag_1_sq,numeric,block,no_not_in_candidate,low,WeatherForecastProvider; current engine falls back to historical same-hour weather,formal_weather_forecast_required_for_recursive_horizon,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
cooling_degree_lag_1,numeric,block,no_not_in_candidate,low,WeatherForecastProvider; current engine falls back to historical same-hour weather,formal_weather_forecast_required_for_recursive_horizon,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
heating_degree_lag_1,numeric,block,no_not_in_candidate,low,WeatherForecastProvider; current engine falls back to historical same-hour weather,formal_weather_forecast_required_for_recursive_horizon,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
temperature_deviation_from_7d_mean,numeric,block,no_not_in_candidate,low,WeatherForecastProvider; current engine falls back to historical same-hour weather,formal_weather_forecast_required_for_recursive_horizon,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
heating_degree_hour,numeric,block,no_not_in_candidate,low,WeatherForecastProvider; current engine falls back to historical same-hour weather,formal_weather_forecast_required_for_recursive_horizon,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
cooling_degree_hour,numeric,block,no_not_in_candidate,low,WeatherForecastProvider; current engine falls back to historical same-hour weather,formal_weather_forecast_required_for_recursive_horizon,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
extreme_temp_flag,numeric,block,no_not_in_candidate,low,WeatherForecastProvider; current engine falls back to historical same-hour weather,formal_weather_forecast_required_for_recursive_horizon,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
temp_hist_change_1h,numeric,block,no_not_in_candidate,low,WeatherForecastProvider; current engine falls back to historical same-hour weather,formal_weather_forecast_required_for_recursive_horizon,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
temp_hist_change_24h,numeric,block,no_not_in_candidate,low,raw_weather via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
is_peak_hour_x_temperature,numeric,block,no_not_in_candidate,low,WeatherForecastProvider; current engine falls back to historical same-hour weather,formal_weather_forecast_required_for_recursive_horizon,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
is_peak_hour_x_same_hour_price_p90,numeric,block,no_not_in_candidate,low,raw_market via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
da_price_roll_mean_6,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_roll_std_6,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_roll_median_6,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_roll_mean_12,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_roll_std_12,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_roll_median_12,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_roll_mean_24,numeric,allow,yes,none_after_anchor_cutoff,historical_da_price,published_day_ahead,deterministic_online_derivation,replaced,da_price_anchor_mean_24,not_applicable,Day6A matrix row; candidate derivation=shift_24h_then_trailing_24h_mean
da_price_roll_std_24,numeric,allow,yes,none_after_anchor_cutoff,historical_da_price,published_day_ahead,deterministic_online_derivation,replaced,da_price_anchor_std_24,not_applicable,Day6A matrix row; candidate derivation=shift_24h_then_trailing_24h_std
da_price_roll_min_24,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_roll_max_24,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_roll_median_24,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_roll_mean_48,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_roll_std_48,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_roll_median_48,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_roll_mean_168,numeric,allow,yes,none_after_anchor_cutoff,historical_da_price,published_day_ahead,deterministic_online_derivation,replaced,da_price_anchor_mean_168,not_applicable,Day6A matrix row; candidate derivation=shift_24h_then_trailing_168h_mean
da_price_roll_std_168,numeric,allow,yes,none_after_anchor_cutoff,historical_da_price,published_day_ahead,deterministic_online_derivation,replaced,da_price_anchor_std_168,not_applicable,Day6A matrix row; candidate derivation=shift_24h_then_trailing_168h_std
da_price_roll_min_168,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_roll_max_168,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_roll_median_168,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_roll_mean_24,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_roll_std_24,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_roll_median_24,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_roll_mean_48,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_roll_std_48,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_roll_mean_168,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_roll_std_168,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
