"FUNC-ID","page","route","element","text","action","expected","actual","status","console","network"
"FUNC-0033","数据中心/数据总览","/data/data-overview","li/menuitem","首页","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0034","数据中心/数据总览","/data/data-overview","li/menuitem","数据中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0035","数据中心/数据总览","/data/data-overview","li/menuitem","预测中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0036","数据中心/数据总览","/data/data-overview","li/menuitem","策略中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0037","数据中心/数据总览","/data/data-overview","li/menuitem","AI 助手","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0038","数据中心/数据总览","/data/data-overview","li/menuitem","报告中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0039","数据中心/数据总览","/data/data-overview","li/menuitem","模型中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0040","数据中心/数据总览","/data/data-overview","li/menuitem","知识库","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0041","数据中心/数据总览","/data/data-overview","li/menuitem","任务中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0042","数据中心/数据总览","/data/data-overview","li/menuitem","系统设置","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0043","数据中心/数据总览","/data/data-overview","button/button","快捷操作","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0044","数据中心/数据总览","/data/data-overview","button/button","收起菜单","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0045","数据中心/数据总览","/data/data-overview","div/tab","数据总览","switch","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0046","数据中心/数据总览","/data/data-overview","div/tab","数据质量 / 数据目录","switch","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0047","数据中心/数据总览","/data/data-overview","input/input","搜索同步任务 / 类型 / 状态","input","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0048","数据中心/数据总览","/data/data-overview","button/button","刷新总览","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0049","数据中心/数据总览","/data/data-overview","button/button","手动刷新数据","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0050","数据中心/数据总览","/data/data-overview","button/button","更多","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0051","数据中心/数据总览","/data/data-overview","button/button","重新刷新","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0052","数据中心/数据总览","/data/data-overview","button/button","查看流程详情","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0053","数据中心/数据总览","/data/data-overview","button/button","详情","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0054","数据中心/数据总览","/data/data-overview","button/button","详情","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0055","数据中心/数据总览","/data/data-overview","button/button","详情","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0056","数据中心/数据总览","/data/data-overview","button/button","详情","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0057","数据中心/数据总览","/data/data-overview","button/button","详情","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0058","数据中心/数据总览","/data/data-overview","button/button","详情","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0059","数据中心/数据总览","/data/data-overview","button/button","详情","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0060","数据中心/数据总览","/data/data-overview","button/button","详情","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0061","数据中心/数据质量","/data/data-quality","input/combobox","","select","保持明确禁用态，不触发未授权或缺少上下文的动作","页面明确 disabled，状态与权限/上下文边界一致","Disabled-by-design","N/A","N/A"
"FUNC-0062","数据中心/数据质量","/data/data-quality","button/button","通知中心","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0063","数据中心/数据质量","/data/data-quality","button/button","帮助中心","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0064","数据中心/数据质量","/data/data-quality","button/button","刷新当前视图","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0065","数据中心/数据质量","/data/data-quality","button/button","最终验收管理员 A admin","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0066","数据中心/数据质量","/data/data-quality","li/menuitem","首页","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0067","数据中心/数据质量","/data/data-quality","li/menuitem","数据中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0068","数据中心/数据质量","/data/data-quality","li/menuitem","预测中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0069","数据中心/数据质量","/data/data-quality","li/menuitem","策略中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0070","数据中心/数据质量","/data/data-quality","li/menuitem","AI 助手","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0071","数据中心/数据质量","/data/data-quality","li/menuitem","报告中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0072","数据中心/数据质量","/data/data-quality","li/menuitem","模型中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0073","数据中心/数据质量","/data/data-quality","li/menuitem","知识库","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0074","数据中心/数据质量","/data/data-quality","li/menuitem","任务中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0075","数据中心/数据质量","/data/data-quality","li/menuitem","系统设置","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0076","数据中心/数据质量","/data/data-quality","button/button","快捷操作","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0077","数据中心/数据质量","/data/data-quality","button/button","收起菜单","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0078","数据中心/数据质量","/data/data-quality","div/tab","数据总览","switch","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0079","数据中心/数据质量","/data/data-quality","div/tab","数据质量 / 数据目录","switch","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0080","数据中心/数据质量","/data/data-quality","input/input","搜索数据集 / 数据域 / 业务说明","input","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0081","数据中心/数据质量","/data/data-quality","button/button","刷新质量","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0082","数据中心/数据质量","/data/data-quality","button/button","手动刷新数据","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0083","数据中心/数据质量","/data/data-quality","button/button","更多","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0084","数据中心/数据质量","/data/data-quality","button/button","重新刷新","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0085","数据中心/数据质量","/data/data-quality","button/button","市场电价历史 字段数 7 已接入","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0086","数据中心/数据质量","/data/data-quality","button/button","日前电价 字段数 4 已接入","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0087","数据中心/数据质量","/data/data-quality","button/button","实时电价 字段数 4 已接入","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0088","数据中心/数据质量","/data/data-quality","button/button","实际负荷 字段数 3 已接入","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0089","数据中心/数据质量","/data/data-quality","button/button","负荷历史 字段数 4 已接入","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0090","数据中心/数据质量","/data/data-quality","button/button","负荷预测 字段数 3 已接入","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0091","数据中心/数据质量","/data/data-quality","button/button","天气观测 字段数 6 已接入","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0092","数据中心/数据质量","/data/data-quality","button/button","预测结果 字段数 11 已接入","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0093","数据中心/数据质量","/data/data-quality","button/button","预测误差跟踪 字段数 9 已接入","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0094","数据中心/数据质量","/data/data-quality","button/button","模型版本清单 字段数 11 已接入","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0095","数据中心/数据质量","/data/data-quality","button/button","特征重要性 字段数 5 已接入","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0096","数据中心/数据质量","/data/data-quality","input/input","搜索当前数据集","input","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0097","数据中心/数据质量","/data/data-quality","button/button","","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0098","数据中心/数据质量","/data/data-quality","button/button","导出当前范围","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0099","数据中心/数据质量","/data/data-quality","button/button","","click","保持明确禁用态，不触发未授权或缺少上下文的动作","页面明确 disabled，状态与权限/上下文边界一致","Disabled-by-design","N/A","N/A"
"FUNC-0100","数据中心/数据质量","/data/data-quality","a/link","1","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0101","数据中心/数据质量","/data/data-quality","a/link","2","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0102","数据中心/数据质量","/data/data-quality","button/button","","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0103","预测中心/24h预测","/forecast/forecast-24h","input/combobox","","select","保持明确禁用态，不触发未授权或缺少上下文的动作","页面明确 disabled，状态与权限/上下文边界一致","Disabled-by-design","N/A","N/A"
"FUNC-0104","预测中心/24h预测","/forecast/forecast-24h","button/button","通知中心","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0105","预测中心/24h预测","/forecast/forecast-24h","button/button","帮助中心","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0106","预测中心/24h预测","/forecast/forecast-24h","button/button","刷新当前视图","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0107","预测中心/24h预测","/forecast/forecast-24h","button/button","最终验收管理员 A admin","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0108","预测中心/24h预测","/forecast/forecast-24h","li/menuitem","首页","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0109","预测中心/24h预测","/forecast/forecast-24h","li/menuitem","数据中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0110","预测中心/24h预测","/forecast/forecast-24h","li/menuitem","预测中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0111","预测中心/24h预测","/forecast/forecast-24h","li/menuitem","策略中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0112","预测中心/24h预测","/forecast/forecast-24h","li/menuitem","AI 助手","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0113","预测中心/24h预测","/forecast/forecast-24h","li/menuitem","报告中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0114","预测中心/24h预测","/forecast/forecast-24h","li/menuitem","模型中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0115","预测中心/24h预测","/forecast/forecast-24h","li/menuitem","知识库","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0116","预测中心/24h预测","/forecast/forecast-24h","li/menuitem","任务中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0117","预测中心/24h预测","/forecast/forecast-24h","li/menuitem","系统设置","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0118","预测中心/24h预测","/forecast/forecast-24h","button/button","快捷操作","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0119","预测中心/24h预测","/forecast/forecast-24h","button/button","收起菜单","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0120","预测中心/24h预测","/forecast/forecast-24h","div/tab","24小时预测","switch","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
