"feature_name","dtype","source_domain","availability","lookback","forecast_horizon","source_table_or_provider","generated_at_prediction_time","leakage_risk","fallback_allowed","required_by_active_model","final_decision"
"price_hist_change_1h_x_peak","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","1h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"price_gap_yesterday_x_peak","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","0h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_lag_1_x_peak","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","1h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_mean_6_x_peak","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","6h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_hist_hour_mean_x_peak","numeric","historical_day_ahead_price","historical_lag_if_fresh","expanding_same_hour","24h","raw_market via historical admission","no","low","no","yes","block"
"recent_price_tightness","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","0h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"hourly_pressure_proxy","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","0h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"forecast_load_lag_1","numeric","future_load_forecast","official_future_load_forecast_required","1h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_lag_2","numeric","future_load_forecast","official_future_load_forecast_required","2h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_lag_24","numeric","future_load_forecast","official_future_load_forecast_required","24h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_lag_25","numeric","future_load_forecast","official_future_load_forecast_required","25h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_lag_48","numeric","future_load_forecast","official_future_load_forecast_required","48h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_lag_168","numeric","future_load_forecast","official_future_load_forecast_required","168h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"actual_load_lag_1","numeric","future_actual_load","unavailable_for_recursive_h2_h24","1h","24h","no permissible online source; current engine substitutes forecast_load_bias_adjusted proxy","no","prohibited","no","yes","retrain_required"
"actual_load_lag_2","numeric","future_actual_load","unavailable_for_recursive_h2_h24","2h","24h","no permissible online source; current engine substitutes forecast_load_bias_adjusted proxy","no","prohibited","no","yes","retrain_required"
"actual_load_lag_24","numeric","historical_actual_load","historical_lag_if_fresh","24h","24h","raw_load via historical admission","no","low","no","yes","block"
"actual_load_lag_25","numeric","historical_actual_load","historical_lag_if_fresh","25h","24h","raw_load via historical admission","no","low","no","yes","block"
"actual_load_lag_48","numeric","historical_actual_load","historical_lag_if_fresh","48h","24h","raw_load via historical admission","no","low","no","yes","block"
"actual_load_lag_168","numeric","historical_actual_load","historical_lag_if_fresh","168h","24h","raw_load via historical admission","no","low","no","yes","block"
"actual_load_hist_change_1h","numeric","future_actual_load","unavailable_for_recursive_h2_h24","1h","24h","no permissible online source; current engine substitutes forecast_load_bias_adjusted proxy","no","prohibited","no","yes","retrain_required"
"actual_load_hist_change_24h","numeric","historical_actual_load","historical_lag_if_fresh","24h","24h","raw_load via historical admission","no","low","no","yes","block"
"temperature_lag_1","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","1h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"temperature_lag_2","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","2h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"temperature_lag_24","numeric","historical_weather","historical_lag_if_fresh","24h","24h","raw_weather via historical admission","no","low","no","yes","block"
"temperature_lag_48","numeric","historical_weather","historical_lag_if_fresh","48h","24h","raw_weather via historical admission","no","low","no","yes","block"
"temperature_lag_168","numeric","historical_weather","historical_lag_if_fresh","168h","24h","raw_weather via historical admission","no","low","no","yes","block"
"wind_speed_lag_1","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","1h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"wind_speed_lag_24","numeric","historical_weather","historical_lag_if_fresh","24h","24h","raw_weather via historical admission","no","low","no","yes","block"
"wind_speed_lag_48","numeric","historical_weather","historical_lag_if_fresh","48h","24h","raw_weather via historical admission","no","low","no","yes","block"
"precipitation_lag_1","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","1h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"precipitation_lag_24","numeric","historical_weather","historical_lag_if_fresh","24h","24h","raw_weather via historical admission","no","low","no","yes","block"
"precipitation_lag_48","numeric","historical_weather","historical_lag_if_fresh","48h","24h","raw_weather via historical admission","no","low","no","yes","block"
"temperature_lag_1_sq","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","1h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"cooling_degree_lag_1","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","1h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"heating_degree_lag_1","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","1h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"temperature_deviation_from_7d_mean","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","169h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"heating_degree_hour","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","0h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"cooling_degree_hour","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","0h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"extreme_temp_flag","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","169h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"temp_hist_change_1h","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","1h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"temp_hist_change_24h","numeric","historical_weather","historical_lag_if_fresh","24h","24h","raw_weather via historical admission","no","low","no","yes","block"
"is_peak_hour_x_temperature","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","0h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"is_peak_hour_x_same_hour_price_p90","numeric","historical_day_ahead_price","historical_lag_if_fresh","30d_same_hour","24h","raw_market via historical admission","no","low","no","yes","block"
"da_price_roll_mean_6","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","6h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_std_6","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","6h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_median_6","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","6h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_mean_12","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","12h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_std_12","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","12h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_median_12","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","12h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_mean_24","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","24h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_std_24","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","24h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_min_24","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","24h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_max_24","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","24h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_median_24","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","24h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_mean_48","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","48h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_std_48","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","48h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_median_48","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","48h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_mean_168","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","168h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_std_168","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","168h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_min_168","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","168h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_max_168","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","168h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_roll_median_168","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","168h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"forecast_load_roll_mean_24","numeric","future_load_forecast","official_future_load_forecast_required","24h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_roll_std_24","numeric","future_load_forecast","official_future_load_forecast_required","24h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_roll_median_24","numeric","future_load_forecast","official_future_load_forecast_required","24h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_roll_mean_48","numeric","future_load_forecast","official_future_load_forecast_required","48h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_roll_std_48","numeric","future_load_forecast","official_future_load_forecast_required","48h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_roll_mean_168","numeric","future_load_forecast","official_future_load_forecast_required","168h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_roll_std_168","numeric","future_load_forecast","official_future_load_forecast_required","168h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"actual_load_roll_mean_24","numeric","future_actual_load","unavailable_for_recursive_h2_h24","24h","24h","no permissible online source; current engine substitutes forecast_load_bias_adjusted proxy","no","prohibited","no","yes","retrain_required"
"actual_load_roll_std_24","numeric","future_actual_load","unavailable_for_recursive_h2_h24","24h","24h","no permissible online source; current engine substitutes forecast_load_bias_adjusted proxy","no","prohibited","no","yes","retrain_required"
"actual_load_roll_mean_168","numeric","future_actual_load","unavailable_for_recursive_h2_h24","168h","24h","no permissible online source; current engine substitutes forecast_load_bias_adjusted proxy","no","prohibited","no","yes","retrain_required"
"actual_load_roll_std_168","numeric","future_actual_load","unavailable_for_recursive_h2_h24","168h","24h","no permissible online source; current engine substitutes forecast_load_bias_adjusted proxy","no","prohibited","no","yes","retrain_required"
"temperature_roll_mean_24","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","24h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"temperature_roll_std_24","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","24h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"temperature_roll_mean_168","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","168h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"temperature_roll_std_168","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","168h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"wind_speed_roll_mean_24","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","24h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"wind_speed_roll_std_24","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","24h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"precipitation_roll_mean_24","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","24h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"precipitation_roll_std_24","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","24h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"da_price_ewm_mean_6","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","6h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_ewm_std_6","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","6h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_ewm_mean_24","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","24h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_ewm_std_24","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","24h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_ewm_mean_168","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","168h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_ewm_std_168","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","168h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"forecast_load_ewm_mean_24","numeric","future_load_forecast","official_future_load_forecast_required","24h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_ewm_std_24","numeric","future_load_forecast","official_future_load_forecast_required","24h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_ewm_mean_168","numeric","future_load_forecast","official_future_load_forecast_required","168h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_ewm_std_168","numeric","future_load_forecast","official_future_load_forecast_required","168h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"actual_load_ewm_mean_24","numeric","future_actual_load","unavailable_for_recursive_h2_h24","24h","24h","no permissible online source; current engine substitutes forecast_load_bias_adjusted proxy","no","prohibited","no","yes","retrain_required"
"actual_load_ewm_std_24","numeric","future_actual_load","unavailable_for_recursive_h2_h24","24h","24h","no permissible online source; current engine substitutes forecast_load_bias_adjusted proxy","no","prohibited","no","yes","retrain_required"
"actual_load_ewm_mean_168","numeric","future_actual_load","unavailable_for_recursive_h2_h24","168h","24h","no permissible online source; current engine substitutes forecast_load_bias_adjusted proxy","no","prohibited","no","yes","retrain_required"
"actual_load_ewm_std_168","numeric","future_actual_load","unavailable_for_recursive_h2_h24","168h","24h","no permissible online source; current engine substitutes forecast_load_bias_adjusted proxy","no","prohibited","no","yes","retrain_required"
"temperature_ewm_mean_24","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","24h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"temperature_ewm_std_24","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","24h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"temperature_ewm_mean_168","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","168h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"temperature_ewm_std_168","numeric","historical_and_future_weather_forecast","formal_weather_forecast_required_for_recursive_horizon","168h","24h","WeatherForecastProvider; current engine falls back to historical same-hour weather","no","low","no","yes","block"
"hour_bias_mean","numeric","unimplemented_error_memory","unavailable_online_placeholder","0h","24h","none; current engine injects constant 0.0","no","prohibited","no","yes","retrain_required"
"scenario_mae","numeric","unimplemented_error_memory","unavailable_online_placeholder","0h","24h","none; current engine injects constant 0.0","no","prohibited","no","yes","retrain_required"
"historical_under_predict_rate","numeric","unimplemented_error_memory","unavailable_online_placeholder","0h","24h","none; current engine injects constant 0.0","no","prohibited","no","yes","retrain_required"
