Method,Path,Module,Handler,Route Name,Response Model,Risk Level,Current Guard,Target Guard,Required Permission,Allowed Roles,Anonymous,Write Operation,Frontend Consumer,Notes
POST,/api/auth/login,backend.app.api.v1.endpoints.auth,login,login,<class 'dict'>,public,none,explicit-public-whitelist,,anonymous,yes,yes,frontend/src/api.ts:181,none
POST,/api/auth/logout,backend.app.api.v1.endpoints.auth,logout,logout,<class 'dict'>,business,auth:get_current_user,authenticated+permission:auth:self,auth:self,admin|analyst|viewer|reviewer|developer,no,yes,frontend/src/api.ts:183,none
GET,/api/auth/me,backend.app.api.v1.endpoints.auth,me,me,<class 'dict'>,business,auth:get_current_user,authenticated+permission:auth:self,auth:self,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:182,none
GET,/api/business-summary,backend.app.api.v1.endpoints.system,business_summary,business_summary,<class 'dict'>,business,none,authenticated+permission:dashboard:read,dashboard:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
GET,/api/dashboard/ai-suggestions,backend.app.api.v1.endpoints.dashboard,dashboard_ai_suggestions,dashboard_ai_suggestions,<class 'dict'>,business,none,authenticated+permission:dashboard:read,dashboard:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:210,none
GET,/api/dashboard/context,backend.app.api.v1.endpoints.dashboard,dashboard_context,dashboard_context,<class 'dict'>,business,none,authenticated+permission:dashboard:read,dashboard:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:206,none
GET,/api/dashboard/data-health,backend.app.api.v1.endpoints.dashboard,dashboard_data_health,dashboard_data_health,<class 'dict'>,business,none,authenticated+permission:dashboard:read,dashboard:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:213,none
GET,/api/dashboard/forecast-metrics,backend.app.api.v1.endpoints.dashboard,dashboard_forecast_metrics,dashboard_forecast_metrics,<class 'dict'>,business,none,authenticated+permission:dashboard:read,dashboard:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:209,none
GET,/api/dashboard/kpi,backend.app.api.v1.endpoints.forecast,dashboard_kpi,dashboard_kpi,<class 'dict'>,business,none,authenticated+permission:dashboard:read,dashboard:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:215,none
GET,/api/dashboard/kpis,backend.app.api.v1.endpoints.dashboard,dashboard_kpis,dashboard_kpis,<class 'dict'>,business,none,authenticated+permission:dashboard:read,dashboard:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:207,none
GET,/api/dashboard/model-status,backend.app.api.v1.endpoints.dashboard,dashboard_model_status,dashboard_model_status,<class 'dict'>,business,none,authenticated+permission:dashboard:read,dashboard:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:212,none
GET,/api/dashboard/overview,backend.app.api.v1.endpoints.dashboard,dashboard_overview,dashboard_overview,<class 'dict'>,business,none,authenticated+permission:dashboard:read,dashboard:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:205,none
GET,/api/dashboard/strategy-execution-summary,backend.app.api.v1.endpoints.dashboard,dashboard_strategy_execution_summary,dashboard_strategy_execution_summary,<class 'dict'>,business,none,authenticated+permission:dashboard:read,dashboard:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:211,none
GET,/api/dashboard/summary,backend.app.api.v1.endpoints.forecast,dashboard,dashboard,<class 'dict'>,business,none,authenticated+permission:dashboard:read,dashboard:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:204,none
GET,/api/dashboard/supply-demand-risk-24h,backend.app.api.v1.endpoints.dashboard,dashboard_supply_demand_risk_24h,dashboard_supply_demand_risk_24h,<class 'dict'>,business,none,authenticated+permission:dashboard:read,dashboard:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:208,none
GET,/api/dashboard/task-reminders,backend.app.api.v1.endpoints.dashboard,dashboard_task_reminders,dashboard_task_reminders,<class 'dict'>,business,none,authenticated+permission:dashboard:read,dashboard:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:214,none
GET,/api/data/catalog,backend.app.api.v1.endpoints.data,get_catalog,get_catalog,<class 'backend.app.schemas.DataCatalogResponse'>,business,auth:get_current_user|permission:data:read,authenticated+permission:data:read,data:read,admin|analyst|developer,no,no,none,none
GET,/api/data/datasets,backend.app.api.v1.endpoints.data,get_datasets,get_datasets,<class 'backend.app.schemas.DatasetListResponse'>,business,auth:get_current_user|permission:data:read,authenticated+permission:data:read,data:read,admin|analyst|developer,no,no,none,none
GET,/api/data/datasets/{dataset_id}/export,backend.app.api.v1.endpoints.data,export_dataset,export_dataset,None,sensitive,auth:get_current_user|permission:data:export,authenticated+permission:data:export,data:export,admin|analyst|developer,no,no,none,download/export response
GET,/api/data/datasets/{dataset_id}/rows,backend.app.api.v1.endpoints.data,get_dataset_rows,get_dataset_rows,<class 'backend.app.schemas.DatasetRowsResponse'>,business,auth:get_current_user|permission:data:read,authenticated+permission:data:read,data:read,admin|analyst|developer,no,no,frontend/src/api.ts:263,none
GET,/api/data/fields,backend.app.api.v1.endpoints.data,get_fields,get_fields,<class 'dict'>,business,auth:get_current_user|permission:data:read,authenticated+permission:data:read,data:read,admin|analyst|developer,no,no,none,none
GET,/api/data/freshness,backend.app.api.v1.endpoints.data,get_freshness,get_freshness,<class 'backend.app.schemas.DataFreshnessResponse'>,business,auth:get_current_user|permission:data:read,authenticated+permission:data:read,data:read,admin|analyst|developer,no,no,none,none
GET,/api/data/import-export-records,backend.app.api.v1.endpoints.data,get_import_export_records,get_import_export_records,<class 'backend.app.schemas.DataSyncRecordsResponse'>,business,auth:get_current_user|permission:data:read,authenticated+permission:data:read,data:read,admin|analyst|developer,no,no,frontend/src/api.ts:236,none
GET,/api/data/quality,backend.app.api.v1.endpoints.data,get_data_quality,get_data_quality,<class 'backend.app.schemas.DataQualityResponse'>,business,auth:get_current_user|permission:data:read,authenticated+permission:data:read,data:read,admin|analyst|developer,no,no,frontend/src/api.ts:233,none
POST,/api/data/refresh,backend.app.api.v1.endpoints.data,refresh_data,refresh_data,<class 'dict'>,business,auth:get_current_user|permission:data:sync,authenticated+permission:data:sync,data:sync,admin|analyst,no,yes,frontend/src/api.ts:231,none
POST,/api/data/sql/query,backend.app.api.v1.endpoints.data,query_arbitrary_sql_disabled,query_arbitrary_sql_disabled,None,sensitive,auth:get_current_user|permission:data:query,authenticated+permission:data:query,data:query,admin|analyst|developer,no,yes,none,none
GET,/api/data/status,backend.app.api.v1.endpoints.data,get_data_status,get_data_status,<class 'backend.app.schemas.DataStatusResponse'>,business,auth:get_current_user|permission:data:read,authenticated+permission:data:read,data:read,admin|analyst|developer,no,no,frontend/src/api.ts:218,none
POST,/api/data/sync-core,backend.app.api.v1.endpoints.data,sync_core_data_to_database,sync_core_data_to_database,<class 'dict'>,business,auth:get_current_user|permission:data:sync,authenticated+permission:data:sync,data:sync,admin|analyst,no,yes,frontend/src/api.ts:232,none
GET,/api/db/health,backend.app.api.v1.endpoints.system,db_health,db_health,<class 'dict'>,sensitive,none,authenticated+permission:system:diagnostics,system:diagnostics,admin|developer,no,no,frontend/src/api.ts:217,none
GET,/api/forecast/24h,backend.app.api.v1.endpoints.forecast,forecast_24h,forecast_24h,<class 'dict'>,business,none,authenticated+permission:forecast:read,forecast:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:276,none
GET,/api/forecast/latest,backend.app.api.v1.endpoints.forecast,latest_forecast,latest_forecast,<class 'dict'>,business,none,authenticated+permission:forecast:read,forecast:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:265,none
POST,/api/forecast/run,backend.app.api.v1.endpoints.forecast,run_forecast,run_forecast,<class 'dict'>,business,auth:get_current_user|permission:forecast:run,authenticated+permission:forecast:run,forecast:run,admin|analyst,no,yes,frontend/src/api.ts:278,none
GET,/api/forecast/runs,backend.app.api.v1.endpoints.forecast,forecast_runs,forecast_runs,<class 'dict'>,business,none,authenticated+permission:forecast:read,forecast:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:268,none
GET,/api/forecast/runs/latest-success,backend.app.api.v1.endpoints.forecast,forecast_latest_success,forecast_latest_success,<class 'dict'>,business,none,authenticated+permission:forecast:read,forecast:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
GET,/api/forecast/runs/{run_id},backend.app.api.v1.endpoints.forecast,forecast_run_detail,forecast_run_detail,<class 'dict'>,business,none,authenticated+permission:forecast:read,forecast:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
GET,/api/forecast/runs/{run_id}/results,backend.app.api.v1.endpoints.forecast,forecast_run_results,forecast_run_results,<class 'dict'>,business,none,authenticated+permission:forecast:read,forecast:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:271,none
GET,/api/forecast/{run_id},backend.app.api.v1.endpoints.forecast,forecast_by_run,forecast_by_run,<class 'dict'>,business,none,authenticated+permission:forecast:read,forecast:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:265;frontend/src/api.ts:268;frontend/src/api.ts:276;frontend/src/api.ts:278,none
GET,/api/forecast/{run_id}/hour/{hour},backend.app.api.v1.endpoints.forecast,forecast_hour,forecast_hour,<class 'dict'>,business,none,authenticated+permission:forecast:read,forecast:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
GET,/api/health,backend.app.api.v1.endpoints.system,health,health,<class 'dict'>,public,none,explicit-public-whitelist,,anonymous,yes,no,frontend/src/api.ts:179,none
POST,/api/knowledge/batch-validate,backend.app.api.v1.endpoints.knowledge,batch_validate_knowledge,batch_validate_knowledge,<class 'dict'>,business,auth:get_current_user|permission:knowledge:read,authenticated+permission:knowledge:write,knowledge:write,admin|analyst,no,yes,frontend/src/api.ts:395,none
GET,/api/knowledge/citations/{chunk_id},backend.app.api.v1.endpoints.knowledge,get_knowledge_citation_detail,get_knowledge_citation_detail,<class 'dict'>,business,auth:get_current_user|permission:knowledge:read,authenticated+permission:knowledge:read,knowledge:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
GET,/api/knowledge/documents,backend.app.api.v1.endpoints.knowledge,get_knowledge_documents,get_knowledge_documents,<class 'dict'>,business,auth:get_current_user|permission:knowledge:read,authenticated+permission:knowledge:read,knowledge:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
GET,/api/knowledge/documents/{doc_id},backend.app.api.v1.endpoints.knowledge,get_knowledge_document_detail,get_knowledge_document_detail,<class 'dict'>,business,auth:get_current_user|permission:knowledge:read,authenticated+permission:knowledge:read,knowledge:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
GET,/api/knowledge/documents/{doc_id}/chunks,backend.app.api.v1.endpoints.knowledge,get_knowledge_document_chunks,get_knowledge_document_chunks,<class 'dict'>,business,auth:get_current_user|permission:knowledge:read,authenticated+permission:knowledge:read,knowledge:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
POST,/api/knowledge/embedding-refresh,backend.app.api.v1.endpoints.knowledge,refresh_knowledge_embeddings,refresh_knowledge_embeddings,<class 'dict'>,business,auth:get_current_user|permission:knowledge:write,authenticated+permission:knowledge:write,knowledge:write,admin|analyst,no,yes,frontend/src/api.ts:403,none
GET,/api/knowledge/export,backend.app.api.v1.endpoints.knowledge,export_knowledge,export_knowledge,None,business,auth:get_current_user|permission:knowledge:read,authenticated+permission:knowledge:export,knowledge:export,admin|analyst|developer,no,no,frontend/src/api.ts:401,download/export response
GET,/api/knowledge/health,backend.app.api.v1.endpoints.knowledge,get_rag_health,get_rag_health,<class 'dict'>,business,auth:get_current_user|permission:knowledge:read,authenticated+permission:knowledge:read,knowledge:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:381,none
POST,/api/knowledge/index-local,backend.app.api.v1.endpoints.knowledge,index_knowledge,index_knowledge,<class 'dict'>,business,auth:get_current_user|permission:knowledge:write,authenticated+permission:knowledge:write,knowledge:write,admin|analyst,no,yes,frontend/src/api.ts:402,none
POST,/api/knowledge/qa-test,backend.app.api.v1.endpoints.knowledge,qa_test_knowledge,qa_test_knowledge,<class 'dict'>,business,auth:get_current_user|permission:knowledge:read,authenticated+permission:knowledge:read,knowledge:read,admin|analyst|viewer|reviewer|developer,no,yes,frontend/src/api.ts:394,none
GET,/api/knowledge/search,backend.app.api.v1.endpoints.knowledge,search_knowledge,search_knowledge,<class 'dict'>,business,auth:get_current_user|permission:knowledge:read,authenticated+permission:knowledge:read,knowledge:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:391;frontend/src/api.ts:393,same-path methods=GET|POST
POST,/api/knowledge/search,backend.app.api.v1.endpoints.knowledge,search_knowledge_post,search_knowledge_post,<class 'dict'>,business,auth:get_current_user|permission:knowledge:read,authenticated+permission:knowledge:read,knowledge:read,admin|analyst|viewer|reviewer|developer,no,yes,frontend/src/api.ts:391;frontend/src/api.ts:393,same-path methods=GET|POST
GET,/api/knowledge/stats,backend.app.api.v1.endpoints.knowledge,get_knowledge_stats,get_knowledge_stats,<class 'dict'>,business,auth:get_current_user|permission:knowledge:read,authenticated+permission:knowledge:read,knowledge:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:380,none
POST,/api/knowledge/upload,backend.app.api.v1.endpoints.knowledge,upload_knowledge_document,upload_knowledge_document,<class 'dict'>,business,auth:get_current_user|permission:knowledge:write,authenticated+permission:knowledge:write,knowledge:write,admin|analyst,no,yes,frontend/src/api.ts:399,none
GET,/api/load/forecast,backend.app.api.v1.endpoints.forecast,stage1_load_forecast,stage1_load_forecast,<class 'dict'>,business,none,authenticated+permission:forecast:read,forecast:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
GET,/api/market/history,backend.app.api.v1.endpoints.forecast,stage1_market_history,stage1_market_history,<class 'dict'>,business,none,authenticated+permission:forecast:read,forecast:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
POST,/api/model-gateway/chat/completions,backend.model_gateway.router,gateway_chat,gateway_chat,<class 'dict'>,business,auth:get_current_user|permission:assistant:use,authenticated+permission:assistant:use,assistant:use,admin|analyst|developer,no,yes,none,none
GET,/api/model-gateway/health,backend.model_gateway.router,gateway_health,gateway_health,<class 'dict'>,sensitive,auth:get_current_user|permission:model:read,authenticated+permission:model:read,model:read,admin|analyst|developer,no,no,none,none
GET,/api/model/backtest/summary,backend.app.api.v1.endpoints.model,models_backtest_summary,models_backtest_summary,<class 'dict'>,sensitive,auth:get_current_user|permission:model:read,authenticated+permission:model:read,model:read,admin|analyst|developer,no,no,none,compatibility alias of /api/models/backtest/summary
GET,/api/model/explain,backend.app.api.v1.endpoints.forecast,stage1_model_explain,stage1_model_explain,<class 'dict'>,sensitive,none,authenticated+permission:model:read,model:read,admin|analyst|developer,no,no,none,none
GET,/api/model/feature-schema,backend.app.api.v1.endpoints.model,models_feature_schema,models_feature_schema,<class 'dict'>,sensitive,auth:get_current_user|permission:model:read,authenticated+permission:model:read,model:read,admin|analyst|developer,no,no,none,compatibility alias of /api/models/feature-schema
GET,/api/model/leakage-check,backend.app.api.v1.endpoints.model,models_leakage_check,models_leakage_check,<class 'dict'>,sensitive,auth:get_current_user|permission:model:read,authenticated+permission:model:read,model:read,admin|analyst|developer,no,no,none,compatibility alias of /api/models/leakage-check
GET,/api/models/active,backend.app.api.v1.endpoints.model,models_active,models_active,<class 'dict'>,sensitive,auth:get_current_user|permission:model:read,authenticated+permission:model:read,model:read,admin|analyst|developer,no,no,none,none
GET,/api/models/backtest/summary,backend.app.api.v1.endpoints.model,models_backtest_summary,models_backtest_summary,<class 'dict'>,sensitive,auth:get_current_user|permission:model:read,authenticated+permission:model:read,model:read,admin|analyst|developer,no,no,frontend/src/api.ts:376,compatibility alias of /api/model/backtest/summary
POST,/api/models/center/activate,backend.app.api.v1.endpoints.model,models_center_activate,models_center_activate,<class 'dict'>,admin,auth:get_current_user|permission:task:run,authenticated+permission:model:manage,model:manage,admin,no,yes,frontend/src/api.ts:373,none
GET,/api/models/center/export,backend.app.api.v1.endpoints.model,models_center_export,models_center_export,None,sensitive,auth:get_current_user|permission:model:read,authenticated+permission:model:export,model:export,admin|developer,no,no,frontend/src/api.ts:375,download/export response
GET,/api/models/center/overview,backend.app.api.v1.endpoints.model,models_center_overview,models_center_overview,<class 'dict'>,sensitive,auth:get_current_user|permission:model:read,authenticated+permission:model:read,model:read,admin|analyst|developer,no,no,none,none
POST,/api/models/center/rollback,backend.app.api.v1.endpoints.model,models_center_rollback,models_center_rollback,<class 'dict'>,admin,auth:get_current_user|permission:task:run,authenticated+permission:model:manage,model:manage,admin,no,yes,frontend/src/api.ts:374,none
POST,/api/models/center/training/start,backend.app.api.v1.endpoints.model,models_center_training_start,models_center_training_start,<class 'dict'>,admin,auth:get_current_user|permission:task:run,authenticated+permission:model:manage,model:manage,admin,no,yes,frontend/src/api.ts:372,none
GET,/api/models/center/versions/{version},backend.app.api.v1.endpoints.model,models_center_version_detail,models_center_version_detail,<class 'dict'>,sensitive,auth:get_current_user|permission:model:read,authenticated+permission:model:read,model:read,admin|analyst|developer,no,no,frontend/src/api.ts:371,none
GET,/api/models/errors,backend.app.api.v1.endpoints.model,models_errors,models_errors,<class 'dict'>,sensitive,auth:get_current_user|permission:model:read,authenticated+permission:model:read,model:read,admin|analyst|developer,no,no,frontend/src/api.ts:362,none
GET,/api/models/feature-schema,backend.app.api.v1.endpoints.model,models_feature_schema,models_feature_schema,<class 'dict'>,sensitive,auth:get_current_user|permission:model:read,authenticated+permission:model:read,model:read,admin|analyst|developer,no,no,frontend/src/api.ts:377,compatibility alias of /api/model/feature-schema
GET,/api/models/leakage-check,backend.app.api.v1.endpoints.model,models_leakage_check,models_leakage_check,<class 'dict'>,sensitive,auth:get_current_user|permission:model:read,authenticated+permission:model:read,model:read,admin|analyst|developer,no,no,frontend/src/api.ts:378,compatibility alias of /api/model/leakage-check
GET,/api/models/metrics,backend.app.api.v1.endpoints.model,models_metrics,models_metrics,<class 'dict'>,sensitive,auth:get_current_user|permission:model:read,authenticated+permission:model:read,model:read,admin|analyst|developer,no,no,frontend/src/api.ts:361,none
GET,/api/models/retrain-suggestion,backend.app.api.v1.endpoints.model,models_retrain_suggestion,models_retrain_suggestion,<class 'dict'>,sensitive,auth:get_current_user|permission:model:read,authenticated+permission:model:read,model:read,admin|analyst|developer,no,no,frontend/src/api.ts:363,none
GET,/api/prediction/detail,backend.app.api.v1.endpoints.forecast,stage1_prediction_detail,stage1_prediction_detail,<class 'dict'>,business,none,authenticated+permission:forecast:read,forecast:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
GET,/api/prediction/latest,backend.app.api.v1.endpoints.forecast,stage1_prediction_latest,stage1_prediction_latest,<class 'dict'>,business,none,authenticated+permission:forecast:read,forecast:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
GET,/api/renewable/forecast,backend.app.api.v1.endpoints.forecast,stage1_renewable_forecast,stage1_renewable_forecast,<class 'dict'>,business,none,authenticated+permission:forecast:read,forecast:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
GET,/api/reports,backend.app.api.v1.endpoints.report,report_list,report_list,<class 'dict'>,business,auth:get_current_user|permission:report:read,authenticated+permission:report:read,report:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
POST,/api/reports/generate,backend.app.api.v1.endpoints.report,report_generate,report_generate,<class 'dict'>,business,auth:get_current_user|permission:report:generate,authenticated+permission:report:generate,report:generate,admin|analyst,no,yes,frontend/src/api.ts:351,none
GET,/api/reports/latest,backend.app.api.v1.endpoints.report,report_latest,report_latest,<class 'dict'>,business,none,authenticated+permission:report:read,report:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:340,none
GET,/api/reports/summary,backend.app.api.v1.endpoints.report,report_summary,report_summary,<class 'dict'>,business,auth:get_current_user|permission:report:read,authenticated+permission:report:read,report:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:348,none
GET,/api/reports/{report_id},backend.app.api.v1.endpoints.report,report_detail,report_detail,<class 'dict'>,business,none,authenticated+permission:report:read,report:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:340;frontend/src/api.ts:348;frontend/src/api.ts:349;frontend/src/api.ts:351,none
POST,/api/reports/{report_id}/approve,backend.app.api.v1.endpoints.report,report_approve,report_approve,<class 'dict'>,sensitive,auth:get_current_user|permission:report:review,authenticated+permission:report:review,report:review,admin|reviewer,no,yes,frontend/src/api.ts:355,none
GET,/api/reports/{report_id}/download,backend.app.api.v1.endpoints.report,report_download,report_download,None,sensitive,none,authenticated+permission:report:download,report:download,admin|analyst|reviewer|developer,no,no,frontend/src/api.ts:350,download/export response
POST,/api/reports/{report_id}/publish,backend.app.api.v1.endpoints.report,report_publish,report_publish,<class 'dict'>,sensitive,auth:get_current_user|permission:report:review,authenticated+permission:report:review,report:review,admin|reviewer,no,yes,frontend/src/api.ts:359,none
POST,/api/reports/{report_id}/regenerate,backend.app.api.v1.endpoints.report,report_regenerate,report_regenerate,<class 'dict'>,business,auth:get_current_user|permission:report:generate,authenticated+permission:report:generate,report:generate,admin|analyst,no,yes,frontend/src/api.ts:353,none
POST,/api/reports/{report_id}/reject,backend.app.api.v1.endpoints.report,report_reject,report_reject,<class 'dict'>,sensitive,auth:get_current_user|permission:report:review,authenticated+permission:report:review,report:review,admin|reviewer,no,yes,frontend/src/api.ts:357,none
GET,/api/reports/{report_id}/reviews,backend.app.api.v1.endpoints.report,report_reviews,report_reviews,<class 'dict'>,sensitive,none,authenticated+permission:report:review,report:review,admin|reviewer,no,no,frontend/src/api.ts:360,none
GET,/api/risk/level,backend.app.api.v1.endpoints.forecast,stage1_risk_level,stage1_risk_level,<class 'dict'>,business,none,authenticated+permission:forecast:read,forecast:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
GET,/api/risk/summary,backend.app.api.v1.endpoints.forecast,risk_summary,risk_summary,<class 'dict'>,business,none,authenticated+permission:forecast:read,forecast:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:216,none
GET,/api/scheduled-tasks,backend.app.api.v1.endpoints.task,scheduled_tasks,scheduled_tasks,<class 'dict'>,business,none,authenticated+permission:task:read,task:read,admin|analyst|developer,no,no,frontend/src/api.ts:513;frontend/src/api.ts:514,same-path methods=GET|POST
POST,/api/scheduled-tasks,backend.app.api.v1.endpoints.task,scheduled_task_create,scheduled_task_create,<class 'dict'>,admin,auth:get_current_user|permission:task:run,authenticated+permission:task:manage,task:manage,admin,no,yes,frontend/src/api.ts:513;frontend/src/api.ts:514,same-path methods=GET|POST
